内:目白停車時刻変化[s],内:高田馬場[s],内:新大久保[s],内:代々木[s],内:原宿[s],外:原宿停車時刻変化[s],外:代々木[s],外:新大久保[s],外:高田馬場[s],外:目白[s],変電所出力総電力量[kWh]
-5.000000,-5.000000,-5.000000,-5.000000,-5.000000,-5.000000,-5.000000,-5.000000,-5.000000,-4.000000,274.895096,
-5.000000,-5.000000,-5.000000,-5.000000,-5.000000,-5.000000,-5.000000,-5.000000,-5.000000,-5.000000,274.561541,
-5.000000,-5.000000,-5.000000,-5.000000,-5.000000,-5.000000,-5.000000,-5.000000,-5.000000,5.000000,275.976791,
-5.000000,-5.000000,-5.000000,-5.000000,-5.000000,-5.000000,-5.000000,-5.000000,-5.000000,0.000000,275.807066,
-5.000000,-5.000000,-5.000000,-5.000000,-4.000000,-5.000000,-5.000000,-5.000000,-5.000000,-4.000000,274.468360,
-5.000000,-5.000000,-5.000000,-5.000000,-4.000000,-5.000000,-5.000000,-5.000000,-5.000000,-5.000000,274.093355,
-5.000000,-5.000000,-5.000000,-5.000000,-4.000000,-5.000000,-5.000000,-5.000000,-5.000000,5.000000,275.884156,
-5.000000,-5.000000,-5.000000,-5.000000,-4.000000,-5.000000,-5.000000,-5.000000,-5.000000,0.000000,275.550369,
-5.000000,-5.000000,-5.000000,-5.000000,0.000000,-5.000000,-5.000000,-5.000000,-5.000000,-4.000000,270.106443,
-5.000000,-5.000000,-5.000000,-5.000000,0.000000,-5.000000,-5.000000,-5.000000,-5.000000,-5.000000,269.604436,
-5.000000,-5.000000,-5.000000,-5.000000,0.000000,-5.000000,-5.000000,-5.000000,-5.000000,5.000000,273.078654,
-5.000000,-5.000000,-5.000000,-5.000000,0.000000,-5.000000,-5.000000,-5.000000,-5.000000,0.000000,271.832770,
-5.000000,-5.000000,-5.000000,-5.000000,5.000000,-5.000000,-5.000000,-5.000000,-5.000000,-4.000000,264.083818,
-5.000000,-5.000000,-5.000000,-5.000000,5.000000,-5.000000,-5.000000,-5.000000,-5.000000,-5.000000,263.493480,
-5.000000,-5.000000,-5.000000,-5.000000,5.000000,-5.000000,-5.000000,-5.000000,-5.000000,5.000000,268.522217,
-5.000000,-5.000000,-5.000000,-5.000000,5.000000,-5.000000,-5.000000,-5.000000,-5.000000,0.000000,266.295569,
-5.000000,-5.000000,-5.000000,-4.000000,-5.000000,-5.000000,-5.000000,-5.000000,-5.000000,-4.000000,274.894657,
-5.000000,-5.000000,-5.000000,-4.000000,-5.000000,-5.000000,-5.000000,-5.000000,-5.000000,-5.000000,274.561060,
-5.000000,-5.000000,-5.000000,-4.000000,-5.000000,-5.000000,-5.000000,-5.000000,-5.000000,5.000000,275.976665,
-5.000000,-5.000000,-5.000000,-4.000000,-5.000000,-5.000000,-5.000000,-5.000000,-5.000000,0.000000,275.806798,
